
Image Name                     PID 
========================= ======== 
System Idle Process              0 
System                           4 
Registry                       244 
smss.exe                       788 
csrss.exe                     1036 
wininit.exe                   1192 
services.exe                  1312 
lsass.exe                     1360 
svchost.exe                   1492 
fontdrvhost.exe               1520 
svchost.exe                   1632 
svchost.exe                   1680 
svchost.exe                   1876 
svchost.exe                   1880 
svchost.exe                   1892 
svchost.exe                   1992 
svchost.exe                   2004 
svchost.exe                    904 
svchost.exe                    964 
svchost.exe                   2116 
svchost.exe                   2128 
svchost.exe                   2164 
svchost.exe                   2220 
svchost.exe                   2272 
svchost.exe                   2384 
svchost.exe                   2620 
svchost.exe                   2844 
NVDisplay.Container.exe       2876 
svchost.exe                   2908 
svchost.exe                   2920 
svchost.exe                   2928 
amdfendrsr.exe                3048 
AsusCertService.exe           3064 
atiesrxx.exe                  1380 
svchost.exe                   2268 
svchost.exe                   3116 
svchost.exe                   3264 
WUDFHost.exe                  3460 
svchost.exe                   3612 
svchost.exe                   3644 
svchost.exe                   3684 
WmiPrvSE.exe                  3780 
svchost.exe                   4056 
svchost.exe                   4088 
svchost.exe                   4092 
svchost.exe                   2996 
svchost.exe                   4116 
Memory Compression            4144 
svchost.exe                   4344 
svchost.exe                   4568 
svchost.exe                   4600 
svchost.exe                   4652 
svchost.exe                   4732 
svchost.exe                   4740 
svchost.exe                   4988 
AsusOptimization.exe          5040 
svchost.exe                   5048 
AsusWiFiSmartConnect.exe      2712 
spoolsv.exe                   4648 
conhost.exe                   5124 
svchost.exe                   5152 
svchost.exe                   5280 
wlanext.exe                   5428 
conhost.exe                   5436 
ArmouryCrateControlInterf     5748 
AsusAppService.exe            5756 
AsusLinkRemote.exe            5764 
AsusSoftwareManager.exe       5780 
AsusLinkNear.exe              5788 
ArmouryCrate.Service.exe      5796 
AsusSwitch.exe                5820 
DSAService.exe                5836 
DtsApo4Service.exe            5844 
AsusSystemDiagnosis.exe       5856 
svchost.exe                   5872 
svchost.exe                   5880 
nvcontainer.exe               5888 
